Season,Team,FB Followers
2020,Miami Dolphins,2240834
2020,Cleveland Browns,1309450
2020,New England Patriots,7031592
2020,Las Vegas Raiders,3339939
2020,Arizona Cardinals,1434659
2020,Denver Broncos,4197091
2020,Buffalo Bills,906884
2020,San Francisco 49ers,4089048
2012,Buffalo Bills,444205
2012,San Francisco 49ers,1937011
2012,Houston Texans,915857
2012,Indianapolis Colts,1692000
2012,Miami Dolphins,1350095
2012,New England Patriots,4081682
2012,Arizona Cardinals,579164
2012,San Diego Chargers,1230138
2013,Tampa Bay Buccaneers,566064
2013,Buffalo Bills,444205
2013,Pittsburgh Steelers,4928205
2013,New England Patriots,4081682
2013,New Orleans Saints,2977220
2013,Miami Dolphins,1350095
2013,Oakland Raiders,1957355
2013,Cleveland Browns,649036
2018,Minnesota Vikings,2176498
2017,Miami Dolphins,2264624
2017,Jacksonville Jaguars,595557
2017,New England Patriots,7012411
2017,Atlanta Falcons,2044474
2017,Buffalo Bills,861932
2017,Carolina Panthers,2385434
2017,Kansas City Chiefs,1552214
2017,Los Angeles Chargers,1590404
2014,Oakland Raiders,2789835
2014,Chicago Bears,3875551
2014,Detroit Lions,157455
2014,Denver Broncos,3190945
2014,Buffalo Bills,634780
2014,Pittsburgh Steelers,5867999
2014,Miami Dolphins,1860190
2014,New England Patriots,5287304
2015,Cleveland Browns,1157363
2015,Philadelphia Eagles,2941993
2015,Washington Redskins,1841955
2015,Jacksonville Jaguars,530839
2015,Buffalo Bills,743385
2015,Miami Dolphins,2072297
2015,Tennessee Titans,853207
2015,New England Patriots,6100406
2016,Cincinnati Bengals,1189414
2016,Seattle Seahawks,3954045
2016,Baltimore Ravens,2342452
2016,Los Angeles Rams,766320
2016,New England Patriots,6516019
2016,Indianapolis Colts,2275417
2016,Miami Dolphins,2169346
2016,Buffalo Bills,827966
2011,Dallas Cowboys,5485773
2011,Jacksonville Jaguars,320062
2011,Miami Dolphins,1350095
2011,San Diego Chargers,1230138
2011,New England Patriots,4081682
2011,Buffalo Bills,444205
2011,Kansas City Chiefs,681624
2011,New York Giants,2721138
2018,Indianapolis Colts,2221198
2018,Denver Broncos,4321390
2018,New England Patriots,7048729
2018,Buffalo Bills,889063
2018,Miami Dolphins,2273693
2018,Green Bay Packers,5370221
2018,Houston Texans,2191007
2019,Dallas Cowboys ,8575569
2019,Buffalo Bills ,890793
2019,New England Patriots,7065110
2019,Cleveland Browns ,1308320
2019,New York Giants,3859463
2019,Miami Dolphins ,2258572
2019,Oakland Raiders ,3366132
2019,Pittsburgh Steelers,6381735
